Name,Date Added,Year,Last Played,Artist,Genre,Plays
Buried Alive,"10/16/15, 5:32 PM",2014,"10/3/16, 9:35 PM",Logic,Dance & House,1
Burning Heart,"4/21/20, 9:58 PM",1985,"4/28/20, 8:57 PM",Survivor,Rock,2
Burnout,"3/15/17, 12:52 AM",1994,"6/10/18, 5:30 PM",Green Day,Alternative,2
Burritos,"2/4/17, 7:30 AM",1996,,Sublime,Pop,
Bust a Move,"5/8/12, 7:39 PM",1989,"7/14/18, 4:32 PM",Young MC,Hip-Hop/Rap,7
Busy Earnin',"1/1/17, 8:37 PM",2014,"6/29/17, 7:06 AM",Jungle,Electronic,15
But It's Alright,"11/23/17, 12:00 AM",1976,"2/26/19, 7:21 PM",Redbone,Rock,4
Buttercup,"2/6/19, 6:23 PM",2017,"2/24/20, 8:05 PM",Hippo Campus,Alternative,3
Buzzin',"1/12/12, 4:47 PM",2010,"5/9/18, 1:32 PM",Mann,Hip Hop/Rap,17
By the Time I Get to Arizona,"8/3/15, 9:35 PM",2001,,Public Enemy,Hip Hop/Rap,
By the Way,"3/16/19, 10:39 AM",2002,,Red Hot Chili Peppers,Alternative,
C.R.E.A.M.,"2/7/15, 8:58 PM",1993,"1/7/19, 4:59 PM",Wu-Tang Clan,Hip Hop/Rap,37
California,"9/15/16, 6:20 PM",2016,"6/21/17, 3:54 PM",Fashawn,Hip-Hop/Rap,28
California Love,"7/6/15, 8:37 PM",,"8/31/18, 12:13 PM",Tupac,,20
California Vacation,"3/3/15, 12:01 AM",2006,"6/21/16, 1:43 AM",The Game,Hip Hop/Rap,
Californication,"6/30/16, 1:51 PM",1999,"1/15/20, 9:35 PM",Red Hot Chili Peppers,Alternative,20
Call Me,"7/17/17, 12:33 AM",1980,"1/8/18, 12:47 PM",Blondie,Rock,3
Can I Kick It?,"5/11/20, 10:18 PM",1990,"8/3/20, 11:52 PM",A Tribe Called Quest,Hip-Hop/Rap,3
Can I Live,"10/29/15, 12:53 AM",1996,"8/6/16, 1:09 PM",Jay-Z,Rap,2
Can't Be Saved,"2/24/17, 2:44 PM",2006,"1/15/20, 9:53 PM",Senses Fail,Alternative,30
Can't Get Right,"10/16/15, 6:28 PM",2012,"3/9/17, 4:30 PM",The Game Feat. K. Roosevelt,Rap,6
Can't Get Right (feat. K. Roosevelt),"5/31/17, 7:24 PM",2012,"6/27/17, 7:12 AM",The Game,Hip-Hop/Rap,3
Can't Have Everything,"5/31/17, 1:58 AM",2017,,Drake,Hip-Hop/Rap,
Can't Knock The Hustle,"10/29/15, 12:48 AM",1996,,Jay-Z,Rap,
Can't Live Without You,"5/16/20, 2:08 PM",1982,,Scorpions,Hard Rock,
Can't Take a Joke,"6/29/18, 10:45 AM",2018,"6/8/19, 5:46 PM",Drake,Hip-Hop/Rap,2
Can't Tell Me Nothing,"7/7/15, 9:11 PM",2007,"5/7/19, 1:48 PM",Kanye West,Hip-Hop/Rap,31
Can't You Hear Me Knocking,"3/17/20, 1:04 AM",1971,,The Rolling Stones,Rock,
Can´t Knock A Hustle (Fools Paradise Remix),"10/29/15, 12:54 AM",1996,"12/30/15, 3:00 AM",Jay-Z,Rap,1
Canal Street,"10/25/16, 4:57 PM",2009,"5/4/18, 11:56 AM",Raekwon,Hip-Hop/Rap,9
Canal Street,"10/21/15, 9:02 PM",2009,"9/8/16, 3:03 PM",Raekwon,Rap,3
Candy Paint,"5/7/18, 7:41 PM",2017,"1/31/19, 10:15 PM",Post Malone,Hip-Hop/Rap,10
CANT GET IN KANADA,"8/11/18, 2:24 PM",2018,,YG,Hip-Hop/Rap,
Careless Whisper,"2/18/20, 3:53 PM",1984,,George Michael,Pop,
Caress Me Down,"2/4/17, 8:30 AM",1996,"8/16/20, 11:54 AM",Sublime,Alternative,86
Caroline,"9/1/16, 3:03 AM",2016,"3/22/17, 11:40 PM",Aminé,Hip-Hop/Rap,19
Carrollton,"9/28/18, 9:49 PM",2018,,$uicideBoy$,Hip-Hop/Rap,
Carry On Wayward Son,"2/16/17, 1:56 PM",1976,"3/22/20, 3:08 PM",Kansas,Rock,83
Cartoons and Cereal,"9/30/15, 7:52 PM",,"6/10/18, 4:37 PM",Kendrick Lamar,,30
Cashin' Out,"9/22/16, 12:06 AM",2012,"7/11/19, 10:51 PM",Ca$h Out,Hip-Hop/Rap,26
Cashmere Thoughts,"10/29/15, 12:54 AM",1996,,Jay-Z,Rap,
Cat Scratch Fever,"3/26/20, 4:56 PM",1977,,Ted Nugent,Rock,
Catalina,"10/21/15, 9:04 PM",2009,"2/28/17, 3:52 AM",Raekwon,Rap,15
Catalina (feat. Lyfe Jennings),"10/25/16, 4:57 PM",2009,"8/7/19, 12:01 PM",Raekwon,Hip-Hop/Rap,11
Caught Their Eyes (feat. Frank Ocean),"7/17/17, 9:50 PM",2017,"7/19/17, 7:29 AM",JAY-Z,Hip-Hop/Rap,1
Caution,"5/28/18, 12:50 AM",2017,,"Damian ""Jr. Gong"" Marley",Reggae,
Celebration,"10/16/15, 6:31 PM",2012,"1/17/17, 1:57 PM","The Game Feat. Chris Brown, Tyga, Wiz Khalifa & Lil Wayne",Rap,13
Celebration,"10/15/15, 5:59 PM",2005,,Kanye West,Rap,
Celebration,"10/25/16, 3:54 PM",2005,,Kanye West,Hip-Hop/Rap,
"Celebration (feat. Chris Brown, Tyga, Wiz Khalifa & Lil Wayne)","5/31/17, 8:24 PM",2012,"7/27/18, 2:21 PM",The Game,Hip-Hop/Rap,24
Celebration Day,"2/24/19, 3:32 PM",1970,"2/27/19, 2:47 PM",Led Zeppelin,Rock,1
Centerfold,"3/21/17, 10:55 AM",1981,"6/11/18, 12:53 PM",The J. Geils Band,Pop,22
The Chain,"8/8/18, 12:53 PM",1977,"10/21/18, 4:53 PM",Fleetwood Mac,Rock,1
Chain Smoker,"6/27/19, 10:32 PM",2013,,Chance the Rapper,Hip-Hop/Rap,
Chamber of Reflection,"8/10/18, 7:51 PM",2014,"7/7/20, 11:00 AM",Mac DeMarco,Alternative,4
Champion,"10/15/15, 11:52 AM",2007,"7/21/18, 3:12 PM",Kanye West,Hip-Hop/Rap,15
Championships,"12/14/18, 12:39 PM",2018,,Meek Mill,Hip-Hop/Rap,
A Change is Gonna Come,"1/9/19, 8:53 PM",2017,"6/12/20, 4:38 PM",Greta Van Fleet,Rock,37
A Change Is Gonna Come,"7/14/19, 11:47 PM",1964,"6/4/20, 8:26 PM",Sam Cooke,R&B/Soul,1
Changes,"8/3/15, 9:37 PM",,"6/17/16, 11:20 AM",Tupac,,10
Changes (feat. Talent),"6/29/16, 9:58 PM",1998,"3/1/18, 11:29 AM",2Pac,Hip-Hop/Rap,12
Chapter Six,"8/12/19, 11:16 AM",2011,"2/24/18, 1:18 PM",Kendrick Lamar,Hip Hop/Rap,
Chapter Ten,"8/12/19, 11:16 AM",2011,"6/27/17, 10:16 AM",Kendrick Lamar,Hip-Hop/Rap,
Chateau (feat. A$AP Rocky),"7/14/19, 2:49 PM",2019,,Jaden,Hip-Hop/Rap,
Check Yo Self,"5/9/19, 1:49 PM",1992,"4/27/20, 7:25 PM",Ice Cube,Hip-Hop/Rap,25
Checkmate,"5/31/20, 10:31 PM",2020,,Lamb of God,Metal,
Cheerleader,"7/6/15, 8:44 PM",,"8/8/15, 6:44 PM",OMNI,,7
Cherub Rock,"4/6/17, 1:33 AM",1993,"10/23/18, 5:50 PM",Smashing Pumpkins,Rock,74
Chica Me Tipo,"3/13/17, 10:55 AM",1992,"2/26/18, 10:01 PM",Sublime,Alternative,8
The Children,"6/11/19, 1:35 AM",2014,,Ramin Djawadi,Soundtrack,
Children of the Damned (2015 Remastered Version),"10/30/18, 9:18 PM",1982,"4/1/19, 12:51 PM",Iron Maiden,Metal,3
Childrens' Story,"7/7/15, 10:44 PM",,"10/8/15, 10:50 PM",Slick Rick,,1
Chill Bill (feat. J. Davi$ & Spooks),"12/2/16, 12:41 AM",2016,"6/10/18, 5:02 PM",Rob $tone,Hip-Hop/Rap,3
China Town,"7/8/15, 8:43 PM",,"11/12/16, 2:34 PM",Migos,,21
China White,"5/16/20, 2:08 PM",1982,,Scorpions,Hard Rock,
Chump,"3/14/17, 11:52 PM",1994,,Green Day,Alternative,
Church,"7/6/15, 10:24 PM",,"7/16/15, 10:09 AM",The Game,,3
Church (feat. King Chip & Trey Songz),"5/31/17, 7:24 PM",2012,"6/13/17, 5:31 PM",The Game,Hip-Hop/Rap,1
Church for Thugs,"6/18/17, 12:47 PM",2005,"3/1/18, 4:19 PM",Game,,2
Church for Thugs,"3/5/15, 1:25 PM",2005,,The Game,Hip-Hop/Rap,
Cinderella Man,"12/2/16, 12:08 AM",2010,"2/3/17, 4:34 PM",Eminem,Hip-Hop/Rap,1
"Circles (feat. Q-Tip, Eric Bellinger & Sha Sha)","10/8/15, 9:28 PM",2015,"10/15/15, 9:04 PM",The Game,Hip-Hop/Rap,1
Cliffs of Dover,"8/16/17, 2:52 PM",1990,"8/2/20, 5:21 PM",Eric Johnson,Rock,184
Closer to the Sun,"3/8/20, 1:57 PM",2005,"3/8/20, 2:04 PM",Slightly Stoopid,Alternative,1
Closing Time,"3/29/18, 10:29 AM",1998,,Semisonic,Rock,
CoCo,"2/7/15, 1:53 PM",,"1/1/16, 6:44 PM",O.T. Genasis,,5
CoCo,"2/7/15, 1:53 PM",,"2/28/17, 9:58 PM",O.T. Genasis,,6
Cocoa Butter Kisses (feat. Vic Mensa & Twista),"6/27/19, 10:32 PM",2013,,Chance the Rapper,Hip-Hop/Rap,
Coconut,"3/26/20, 4:56 PM",1971,,Harry Nilsson,Rock,
Codeine Dreaming (feat. Lil Wayne),"2/24/18, 1:55 PM",2017,"2/24/18, 1:59 PM",Kodak Black,Hip-Hop/Rap,1
Cold,"6/30/18, 11:55 AM",2016,"4/18/19, 7:31 PM",Post Malone,Hip-Hop/Rap,1
Cold As Ice,"6/25/19, 2:45 PM",1977,"3/1/20, 2:45 PM",Foreigner,Rock,20
Cold Hearted II,"12/14/18, 12:39 PM",2018,,Meek Mill,Hip-Hop/Rap,
Cold Outside,"10/21/15, 8:57 PM",2009,"2/4/16, 9:53 AM",Raekwon,Rap,5
Cold Outside (feat. Ghostface Killah & Sugar Bang),"10/25/16, 3:57 PM",2009,,Raekwon,Hip-Hop/Rap,
Cold Wind Blows,"12/2/16, 12:08 AM",2010,,Eminem,Hip-Hop/Rap,
Coldest Winter,"10/21/15, 9:35 PM",2008,"11/16/15, 6:10 PM",Kanye West,Rap,1
Collard Greens,"7/7/15, 9:48 PM",,"1/12/18, 12:51 PM",ScHoolboy Q,,18
Collect Calls (Bonus Track),"1/20/17, 4:37 PM",2012,"6/19/17, 2:52 PM",Kendrick Lamar,Hip-Hop/Rap,2
Come and Get Your Love,"9/1/19, 12:55 AM",1973,"4/9/20, 5:52 PM",Redbone,Pop,12
Come and Get Your Love,"3/26/20, 4:56 PM",1973,,Redbone,Rock,
Come As You Are (Live & Loud),"4/17/17, 10:51 PM",2013,"8/14/17, 9:27 AM",Nirvana,Alternative,11
Come On Eileen (Single Edit),"9/3/18, 11:01 PM",1982,"8/16/20, 1:22 PM",Dexys Midnight Runners,Alternative,98
Coming Clean,"3/14/17, 11:52 PM",1994,,Green Day,Alternative,
Coming Home (feat. Skylar Grey),"5/28/18, 1:54 AM",2010,"6/13/18, 12:46 PM",Diddy - Dirty Money & Skylar Grey,Hip-Hop/Rap,1
Coming Of Age,"10/29/15, 12:53 AM",1996,,Jay-Z,Rap,
Commotion,"2/7/17, 2:57 AM",1969,"2/16/18, 12:32 PM",Creedence Clearwater Revival,Rock,3
Communication Breakdown,"2/24/19, 3:32 PM",1969,"1/31/20, 8:24 AM",Led Zeppelin,Rock,5
Communist Daughter,"2/26/20, 2:04 PM",1998,,Neutral Milk Hotel,Alternative,
Company,"10/15/15, 5:32 PM",2015,,Drake,Rap,
Complacent Race,"3/20/19, 7:46 PM",2017,,Twiddle,Alternative,
Complexion (A Zulu Love),"10/21/15, 9:20 PM",2015,"8/20/16, 1:26 AM",Kendrick Lamar,Rap,9
Complexion (A Zulu Love) [feat. Rapsody],"10/25/16, 4:57 PM",2015,"7/12/18, 1:50 PM",Kendrick Lamar,Hip-Hop/Rap,21
Compton,"3/3/15, 12:01 AM",2006,"1/24/17, 1:56 PM",Game,Hip-Hop/Rap,
Compton (feat. Dr. Dre),"3/7/15, 11:12 PM",2013,"1/16/20, 2:47 PM",Kendrick Lamar,Hip-Hop/Rap,28
Compton's N the House (Remix),"5/11/20, 10:15 PM",1988,,N.W.A.,Hip-Hop/Rap,
Congratulations (feat. Quavo),"5/22/17, 7:05 PM",2016,"7/12/20, 8:22 PM",Post Malone,Hip-Hop/Rap,51
Control,"3/20/16, 10:23 AM",,"4/21/19, 5:36 PM",Big Sean,,33
Cops Shot the Kid (feat. Kanye West),"6/19/18, 3:21 PM",2018,,Nas,Hip-Hop/Rap,
Could You Be Loved,"2/6/19, 7:01 PM",1980,"1/23/20, 3:52 PM",Bob Marley & The Wailers,Reggae,10
"The Cover of ""Rolling Stone""","3/26/20, 4:56 PM",1972,,Dr. Hook & The Medicine Show,Rock,
Cowboy,"1/3/16, 2:58 AM",,"1/22/16, 2:56 PM",Kid Rock,,1
Cowboys,"3/26/20, 4:55 PM",1996,,Fugees,Hip-Hop/Rap,
Crack Music,"10/15/15, 5:55 PM",2005,"10/17/15, 6:41 PM",Kanye West,Rap,1
Crack Music (feat. The Game),"10/25/16, 4:54 PM",2005,,Kanye West,Hip-Hop/Rap,
Crash,"12/23/16, 12:58 AM",2016,"6/14/17, 10:31 PM",Gucci Mane,Hip-Hop/Rap,9
Crazy,"5/11/12, 11:41 AM",2006,"9/27/18, 6:15 PM",Gnarls Barkley,Alternative,6
Crazy In Love,"10/29/15, 12:41 AM",2004,,Eminem,Rap,
Crazy In Love,"10/25/16, 3:55 PM",2004,,Eminem,Hip-Hop/Rap,
Crazy On You,"7/19/17, 12:21 PM",1976,"3/15/20, 4:52 PM",Heart,Rock,21
Crazy Rap,"7/6/15, 8:39 PM",,"3/10/18, 2:41 PM",Afroman,,8
Crazy Train,"10/27/17, 12:21 PM",1980,"1/26/20, 2:47 PM",Ozzy Osbourne,Hard Rock,32
Crooked Smile (feat. TLC),"6/2/17, 12:21 AM",2013,"3/1/18, 3:06 PM",J. Cole,Hip-Hop/Rap,1
The Crunge,"3/1/19, 5:52 PM",1973,,Led Zeppelin,Rock,
Cudi Zone,"10/15/15, 5:46 PM",2009,,Kid Cudi,Rap,
Cudi Zone,"10/25/16, 3:56 PM",2009,,Kid Cudi,Hip-Hop/Rap,
Cult of Personality,"10/8/15, 9:51 PM",,"9/4/19, 3:01 PM",Living Colour,,35
Cum On Feel the Noize,"5/21/17, 3:53 PM",1983,"6/13/20, 1:41 PM",Quiet Riot,Hard Rock,68
Curtains Up,"10/29/15, 12:32 AM",2004,,Eminem,Rap,
Cut Her Off,"2/7/15, 1:38 PM",,"4/20/16, 3:48 PM",K Camp,,7
Cut Her Off,"2/7/15, 1:38 PM",,"4/20/16, 2:48 PM",K Camp,,7
Cut It (feat. Young Dolph),"9/20/16, 1:00 PM",2015,"8/2/20, 6:11 PM",O.T. Genasis,Hip-Hop/Rap,44
D.J.'s,"3/13/17, 11:55 AM",1992,"11/9/19, 5:38 PM",Sublime,Alternative,111
D' Evils,"10/29/15, 12:52 AM",1996,"7/3/16, 3:08 PM",Jay-Z,Rap,3
D'yer Mak'er,"3/1/19, 6:52 PM",1973,"1/23/20, 1:58 PM",Led Zeppelin,Rock,14
Da S**t,"3/3/15, 12:01 AM",2006,"7/16/15, 1:25 PM",The Game,Hip Hop/Rap,
Dammit,"4/11/17, 11:06 AM",1997,"8/30/19, 6:55 PM",blink-182,Pop,46
Dance Monkey,"12/20/19, 9:23 PM",2019,"12/27/19, 10:56 AM",Tones and I,Alternative,1
Dance with the Devil,"5/26/17, 10:20 PM",2017,"6/10/18, 5:02 PM",Gucci Mane,Hip-Hop/Rap,5
Dance with the Devil,"10/12/15, 9:44 PM",,,Immortal Technique,,
Dancing Days,"3/1/19, 5:52 PM",1973,,Led Zeppelin,Rock,
Dancing In the Moonlight (Original Recording),"3/14/19, 12:22 PM",1972,"6/21/20, 12:11 PM",King Harvest,Rock,50
Dancing With Myself,"11/6/19, 12:51 AM",1981,"2/25/20, 9:42 PM",Billy Idol,Rock,3
Dangerous (feat. Jeremih and PnB Rock),"12/14/18, 12:39 PM",2018,,Meek Mill,Hip-Hop/Rap,
Dark Fantasy,"1/30/15, 12:07 AM",2010,"4/15/19, 7:36 PM",Kanye West,Hip Hop/Rap,6
Dark Lady,"3/15/19, 12:00 PM",1975,"9/25/19, 2:27 PM",Scorpions,Hard Rock,5
Date Rape,"3/13/17, 11:55 AM",1992,"7/12/20, 12:40 PM",Sublime,Alternative,14
Daughters,"2/16/18, 5:04 PM",2003,"3/6/18, 3:23 PM",John Mayer,Rock,1
Davidian,"5/3/19, 10:10 AM",1994,,Machine Head,Metal,
Day 'n' Nite,"5/26/09, 3:22 PM",2009,"12/5/16, 9:05 PM",Kid Cudi,Hip-Hop/Rap,30
Day 'n' Nite,"10/25/16, 3:56 PM",2008,"3/9/18, 5:47 PM",Kid Cudi,Hip-Hop/Rap,5
Day 'n' Nite (Nightmare),"10/15/15, 5:44 PM",2009,"8/15/16, 5:06 PM",Kid Cudi,Rap,4
Days Go By,"7/5/19, 10:18 PM",2015,,Peach Fur,Rock & Roll,
Dazed and Confused,"2/24/19, 3:32 PM",1969,,Led Zeppelin,Rock,
Dead and Gone (feat. Justin Timberlake),"9/5/19, 1:18 PM",2008,"10/21/19, 3:15 PM",T.I.,Rap,10
Dead People,"5/31/17, 7:24 PM",2012,,The Game,Hip-Hop/Rap,
Dead Presidents II,"10/29/15, 12:52 AM",1996,"10/12/16, 12:49 PM",Jay-Z,Rap,1
Dead Wrong (feat. Eminem),"12/15/18, 11:43 AM",1999,,The Notorious B.I.G.,Hip-Hop/Rap,
Dead!,"4/30/17, 12:50 AM",2006,"3/17/20, 1:44 PM",My Chemical Romance,Alternative,50
Dedicated (feat. Future & Sonyae),"10/8/15, 9:28 PM",2015,"6/15/17, 1:19 PM",The Game,Hip-Hop/Rap,3
Dedication (feat. Kendrick Lamar),"11/24/18, 2:01 PM",2018,,Nipsey Hussle,Hip-Hop/Rap,
DEEPER THAN RAP,"8/11/18, 3:24 PM",2018,,YG,Hip-Hop/Rap,
Deja Vu (feat. Justin Bieber),"6/30/18, 11:55 AM",2016,,Post Malone,Hip-Hop/Rap,
DEVASTATED,"8/16/16, 11:33 PM",2017,"4/16/19, 4:10 PM",Joey Bada$$,Hip-Hop/Rap,73
Devil Eyes,"8/25/16, 9:49 PM",2016,"1/31/20, 5:58 PM",Hippie Sabotage,Electronic,17
Devil In a New Dress (feat. Rick Ross),"10/14/15, 9:32 PM",2010,"3/15/18, 5:25 PM",Kanye West & Rick Ross,Hip Hop/Rap,3
The Devil is a Lie,"3/10/15, 11:05 PM",,"6/24/19, 3:51 PM",Rick Ross,Hip Hop/Rap,27
Diamonds From Sierra Leone,"10/15/15, 6:00 PM",2005,"10/20/15, 11:52 AM",Kanye West,Rap,2
Diamonds from Sierra Leone (Bonus Track),"10/25/16, 3:54 PM",2005,"6/27/17, 3:51 PM",Kanye West,Hip-Hop/Rap,5
Diamonds From Sierra Leone (Remix),"10/15/15, 5:57 PM",2005,"10/10/16, 10:00 AM",Kanye West,Rap,8
Diamonds from Sierra Leone (Remix) [feat. Jay-Z],"10/25/16, 4:54 PM",2005,"6/8/19, 5:07 PM",Kanye West,Hip-Hop/Rap,3
Digits,"5/31/16, 8:18 PM",2016,"9/4/18, 1:40 PM",Young Thug,Hip-Hop,58
Dirty Work,"3/14/20, 6:30 PM",1972,,Steely Dan,Rock,
The Distance,"8/31/19, 12:12 AM",1996,"11/27/19, 2:37 PM",Cake,Alternative,5
"Distance (feat. Joey Bada$$, Issa Gold & Erick the Architect)","7/1/19, 3:20 PM",2019,"7/7/19, 3:37 PM",Beast Coast,Hip-Hop/Rap,6
DNA.,"4/13/17, 8:52 PM",2017,"9/14/19, 6:15 PM",Kendrick Lamar,Hip-Hop/Rap,61
Do I Wanna Know?,"8/15/17, 12:30 PM",2013,"8/23/19, 8:06 PM",Arctic Monkeys,Alternative,30
Do It Again,"3/14/20, 6:30 PM",1972,,Steely Dan,Rock,
Do It Again,"2/12/17, 11:33 AM",1972,"2/20/17, 11:34 PM",Steely Dan,Rock,2
Do Not Disturb,"5/31/17, 1:58 AM",2017,,Drake,Hip-Hop/Rap,
Do Your Stuff,"1/21/20, 9:58 PM",2007,"1/27/20, 8:58 PM",Perk Badger,R&B/Soul,2
Doctor's Advocate,"3/3/15, 12:01 AM",2006,"2/10/18, 4:17 PM",The Game,Hip Hop/Rap,1
The Documentary,"3/5/15, 12:25 PM",2005,,Game,,
The Documentary,"6/18/17, 1:47 PM",2005,,The Game,Hip-Hop/Rap,
The Documentary 2,"10/8/15, 9:28 PM",2015,"12/26/16, 9:54 PM",The Game,Hip Hop/Rap,6
Doin' Time,"2/4/17, 8:30 AM",1996,"11/18/19, 5:51 PM",Sublime,Alternative,59
Dollar and a Dream (feat. AB Soul),"10/8/15, 10:28 PM",2015,"9/19/19, 5:34 PM",The Game,Hip-Hop/Rap,5
Don't Believe the Hype,"8/3/15, 9:35 PM",2001,,Public Enemy,Hip-Hop/Rap,
Don't Bring Me Down,"2/27/18, 11:14 PM",1979,"12/13/19, 1:03 PM",Electric Light Orchestra,Rock,19
Don't Bring Me Down,"2/12/18, 12:55 PM",1979,,Electric Light Orchestra,Rock,
Don't Let Go,"11/12/18, 11:34 AM",2001,,Weezer,Rock,
Don't Let Up (Version Without Sample),"10/14/15, 9:18 PM",2004,"8/20/16, 12:52 AM",Akon,R&B/Soul,3
Don't Make No Promises (Your Body Can't Keep),"5/16/20, 1:02 PM",1980,,Scorpions,Hard Rock,
Don't Matter,"7/7/15, 10:03 PM",,"9/3/16, 10:09 AM",Akon,,8
Don't Matter To Me,"6/29/18, 9:45 AM",2018,"7/11/18, 1:14 PM",Drake & Michael Jackson,Hip-Hop/Rap,1
Don't Need Your Love,"3/5/15, 12:25 PM",2005,"6/27/17, 10:08 AM",Game,Hip-Hop/Rap,1
Don't Pretend (feat. SAFE),"5/2/19, 5:39 PM",2019,,Khalid,R&B/Soul,
Don't Push,"3/13/17, 10:55 AM",1992,"2/15/19, 8:00 PM",Sublime,Alternative,8
Don't Stop Believin',"5/26/09, 3:24 PM",1988,"12/3/15, 12:18 AM",Journey,Rock,1
Don't Stop Me Now,"5/7/18, 3:25 PM",1978,"6/4/20, 11:55 AM",Queen,Rock,115
Don't Stop Me Now,"4/3/19, 11:04 AM",1978,"5/21/19, 2:54 PM",Queen,Rock,5
Don't Stop the Rock,"3/25/19, 8:24 PM",1985,,Freestyle,Dance,
Don't Wanna Fight,"10/14/19, 10:05 PM",2015,,Alabama Shakes,Alternative,
Don't Worry,"3/5/15, 12:25 PM",2005,"7/11/15, 7:52 PM",Game,,
Don't Worry (feat. Mary J. Blige),"3/5/15, 1:25 PM",2005,,The Game,Hip-Hop/Rap,
"Don’t Trip (feat. Ice Cube, Dr. Dre & will.i.am)","10/8/15, 10:28 PM",2015,"10/23/19, 8:50 PM",The Game,Hip-Hop/Rap,47
Done Did It (feat. Nicole Wray & NOE),"5/6/12, 11:37 PM",2009,,BlakRoc,Hip-Hop/Rap,
Dopeman (Remix),"5/11/20, 10:15 PM",1988,,N.W.A.,Hip-Hop/Rap,
Double Up (feat. Belly & DOM KENNEDY) [Bonus Track],"11/24/18, 2:01 PM",2018,,Nipsey Hussle,Hip-Hop/Rap,
Down On the Corner,"1/31/17, 10:06 PM",1969,"3/5/20, 1:59 PM",Creedence Clearwater Revival,Rock,84
Down Under,"9/16/18, 8:32 PM",1981,"2/26/20, 2:37 PM",Men At Work,Rock,34
Draco,"3/10/17, 4:18 PM",2017,"8/22/17, 11:45 AM",Future,Hip-Hop/Rap,5
Dragula,"3/25/19, 8:29 PM",1998,,Rob Zombie,Metal,
Dream Evil,"5/27/19, 12:57 PM",1987,,Dio,Metal,
Dream On,"8/3/15, 9:30 PM",,"3/2/20, 3:37 PM",Aerosmith,,20
Dreams,"11/25/19, 1:00 PM",1987,"11/26/19, 1:50 PM",Fleetwood Mac,Rock,1
Dreams,"3/5/15, 12:25 PM",2005,"6/29/17, 7:28 AM",Game,Hip-Hop/Rap,3
Dreams,"3/5/15, 1:25 PM",2005,,The Game,Hip-Hop/Rap,
Drift Away,"7/3/16, 1:33 AM",1973,"3/12/20, 2:10 PM",Dobie Gray,R&B/Soul,11
Drip Too Hard,"1/11/19, 3:50 PM",2018,"7/9/19, 3:28 PM",Lil Baby & Gunna,Hip-Hop/Rap,12
Drive Slow,"10/15/15, 5:54 PM",2005,"7/10/16, 1:55 PM",Kanye West,Rap,2
Drive Slow (feat. Paul Wall & GLC),"10/25/16, 3:54 PM",2005,"2/28/17, 9:51 PM",Kanye West,Hip-Hop/Rap,2
Droppin' Seeds (feat. Lil' Wayne),"1/9/19, 7:55 PM",2017,,"Tyler, The Creator",Hip-Hop/Rap,
Drove U Crazy (feat. Bryson Tiller),"12/23/16, 12:58 AM",2016,"2/10/18, 4:07 PM",Gucci Mane,Hip-Hop/Rap,7
Drunk and Hot Girls (feat. Mos Def),"10/15/15, 10:52 AM",2007,"7/10/16, 1:04 PM",Kanye West,Hip Hop/Rap,1
DUCKWORTH.,"4/13/17, 8:52 PM",2017,"8/13/19, 11:01 AM",Kendrick Lamar,Hip-Hop/Rap,16
Dunes,"10/14/19, 10:05 PM",2015,,Alabama Shakes,Alternative,
Dust In the Wind,"3/26/20, 4:56 PM",1977,,Kansas,Rock,
Dynamite,"5/16/20, 2:08 PM",1982,"7/14/20, 8:05 PM",Scorpions,Hard Rock,1
Earth Angel,"1/19/16, 1:37 PM",,,The Temptations,,
Eat Me,"2/24/20, 10:58 AM",2020,,Ozzy Osbourne,Metal,
Ebin,"3/13/17, 10:55 AM",1992,"7/20/17, 10:28 AM",Sublime,Alternative,3
Edge of Darkness,"9/28/18, 9:56 PM",2017,,Greta Van Fleet,Rock,
Edge of Seventeen,"11/6/19, 12:45 AM",1981,"3/22/20, 4:17 PM",Stevie Nicks,Rock,4
El Chapo (Bonus Track),"10/14/15, 10:39 PM",2015,"1/16/19, 7:18 PM",The Game & Skrillex,Hip Hop/Rap,30
El Chapo (Bonus Track),"5/11/20, 10:33 PM",2015,,The Game & Skrillex,Hip-Hop/Rap,
Electric Feel,"9/17/18, 4:21 PM",2007,"8/11/20, 10:21 AM",MGMT,Alternative,2
ELEMENT.,"4/13/17, 7:52 PM",2017,"9/15/18, 6:05 PM",Kendrick Lamar,Hip-Hop/Rap,21
Elevate,"6/29/18, 9:45 AM",2018,"6/30/18, 5:58 PM",Drake,Hip-Hop/Rap,2
Em Calls Paul (Skit),"10/29/15, 12:39 AM",2004,,Eminem,Rap,
Em Calls Paul (Skit),"10/25/16, 3:55 PM",2004,,Eminem,Hip-Hop/Rap,
Em Calls Paul (Skit),"9/22/18, 1:50 AM",2018,,Eminem,Hip-Hop/Rap,
Emenius Sleepus,"3/14/17, 11:52 PM",1994,,Green Day,Alternative,
Emotionless,"6/29/18, 9:45 AM",2018,"7/17/18, 12:14 PM",Drake,Hip-Hop/Rap,4
Encore / Curtains Down,"10/29/15, 12:41 AM",2004,"11/13/15, 12:30 AM",Eminem,Rap,2
Encore / Curtains Down (feat. Dr. Dre & 50 Cent),"10/25/16, 3:55 PM",2004,,Eminem,Hip-Hop/Rap,
End of the Line,"2/26/19, 12:21 AM",1988,"8/15/20, 12:09 PM",The Traveling Wilburys,Rock,23
